word,word_count,x_coord,y_coord,rank
marama,10481.0,-1.5866637,-3.2599936,122
matau,9533.0,3.0051978,1.9683975,123
katahi,12034.0,2.7193115,-0.6989004,124
penei,9991.0,-0.41271138,1.7890987,125
whakahaere,9273.0,0.59519416,4.9566402,126
oti,9449.0,0.3540068,3.0260267,127
konei,10953.0,1.2799636,0.15351042,128
mema,9394.0,1.1495155,5.745915,129
aku,9276.0,1.3419703,2.8945665,130
ke,9992.0,0.32964933,-0.40260965,131
hanga,9249.0,0.69016546,-2.458443,132
wai,9942.0,3.510413,-3.0793133,133
titiro,9033.0,1.2447077,1.3791959,134
kawana,10473.0,-0.16144887,3.2568192,135
kiia,8322.0,-0.8440076,1.3525628,136
pukapuka,9213.0,-1.4692316,2.8529403,137
kahore,10646.0,-1.1319867,0.30170956,138
mua,9446.0,1.3568778,0.7179772,139
mutu,8613.0,2.315216,1.541102,140
tono,8525.0,0.2437735,3.8218453,141
ao,9410.0,2.3889709,0.1584425,142
waka,9361.0,3.9288635,3.9362051,143
taea,8144.0,0.11996873,1.699348,144
rere,7792.0,4.3206024,-2.7980797,145
aroha,8473.0,2.8033607,1.2956536,146
heoi,14603.0,2.1551366,2.904546,147
muri,11616.0,2.5978472,-0.1858753,148
atua,8299.0,2.105793,0.71788555,149
ngakau,8590.0,1.7958794,1.5863222,150
kaua,8250.0,-1.7969344,2.3676362,151
hiahia,7389.0,-1.494173,2.5197635,152
hoiho,8662.0,0.51589996,-5.261211,153
anake,8013.0,0.40204474,-0.26708293,154
takoto,7119.0,1.6851358,-0.6866295,155
komiti,8285.0,1.6998162,5.5569987,156
puke,7826.0,3.6326177,4.312513,157
nupepa,7650.0,-0.5161898,1.931865,158
aha,8836.0,0.4433209,-1.6051626,159
waiho,7144.0,0.72160465,1.6726867,160
whakaatu,7050.0,1.2004747,3.4886343,161
iti,7168.0,0.6040789,-2.7520423,162
roa,7141.0,1.5289419,-4.3118815,163
kooti,8713.0,-1.299566,5.1511726,164
nana,6613.0,1.6014663,0.23546909,165
aia,6826.0,-2.4247823,0.44509223,166
tini,6876.0,0.9854656,-2.80651,167
matua,7088.0,4.400582,1.0394032,168
