word,word_count,x_coord,y_coord,rank
wai,9448,-1.4878561,-6.2238746,131
mua,9446,-2.707405,1.6109022,132
ao,9410,-2.2174306,-1.3894037,133
whakahaere,9273,-1.232111,3.9648216,134
mema,9267,1.5642067,4.1947083,135
waka,9233,0.6531181,-2.269465,136
hanga,9211,-0.25366107,-3.1462486,137
kawana,9163,0.9471216,1.714574,138
aku,9156,-1.5621048,0.9272398,139
titiro,8987,-2.8294783,0.7367622,140
pukapuka,8926,-0.29320616,3.5550501,141
muri,8676,-1.3933723,-0.13937086,142
mutu,8613,-0.64241534,0.17745835,143
tono,8525,-0.6293496,3.9522336,144
aroha,8473,-0.6314095,-0.4953725,145
hoiho,8346,1.5454214,-4.2922626,146
kiia,8322,-3.537915,2.2794065,147
aha,8290,-4.6015677,0.3944473,148
kaua,8250,-3.963335,1.4239138,149
atua,8228,-3.3642268,-0.9310244,150
otira,8143,-3.5581412,1.1695338,151
anake,7922,-3.7660596,0.9917564,152
puke,7826,1.4107969,2.209359,153
ngakau,7800,-3.1782618,-0.7048529,154
rere,7792,-2.417906,-4.8110385,155
komiti,7743,0.49823952,4.0933576,156
taea,7664,-3.1437418,1.9253587,157
nupepa,7650,1.1836518,2.2482862,158
mehemea,7480,-2.922753,3.336323,159
hiahia,7319,-2.50315,3.5194178,160
kooti,7283,0.07629907,5.511143,161
iti,7168,-0.026895823,-4.4747715,162
waiho,7144,-3.0570316,0.9859711,163
takoto,7119,-2.8231194,-1.387715,164
roa,7073,-2.2381349,-4.3733144,165
whakaatu,7050,0.4909542,2.6046066,166
pauna,7041,-6.438787,-1.0638168,167
panui,6988,0.7632143,2.8100803,168
tini,6876,-0.026462257,-3.0532,169
kuini,6835,-3.1610312,-0.22053665,170
aia,6826,-0.25159758,3.522393,171
matua,6716,0.25579438,-0.4725879,172
pera,6673,-0.48528707,-2.61489,173
nana,6613,-4.437893,0.41471943,174
kura,6528,-0.18646415,-0.08639273,175
paremata,6400,0.4261289,4.614457,176
kaati,6265,-0.6602581,1.6471632,177
akarana,6246,2.402654,-1.2968869,178
rangi,6003,2.78189,-1.9260674,179
mahia,5979,-3.3899884,3.5450444,180
reta,5966,1.2629746,2.1899173,181
tiaki,5909,-0.50366014,4.058735,182
whakaae,5902,-1.1181642,3.5685904,183
pu,5896,-0.5103754,-5.1536694,184
whawhai,5852,-3.6632957,-2.7675579,185
hapu,5847,1.6157881,0.94300646,186
hou,5802,0.071557365,-0.8276181,187
rakau,5778,-0.7684623,-6.653618,188
hara,5755,-5.0069914,-0.3257867,189
hunga,5730,-3.9360437,-0.35327172,190
ngaro,5729,-2.8270319,-2.0633974,191
ahakoa,5719,-4.075332,1.0052556,192
kingi,5640,-0.7570181,-2.0344098,193
